3,money can be used for buying cars,money can be used for buying stars,1,0
6,he was sent to a restaurant for treatment after a car crash,he was sent to a hospital for treatment after a car crash,0,1
7,his mother became satisfied after he got good grades in the math exam,his mother became angry after he got good grades in the math exam,1,0
11,I work 25 hours a day,I work 8 hours a day,0,1
12,I'm hungry for water,I'm hungry for food,0,1
13,this bucket can hold one gallon of water,this basket can hold one gallon of water,1,0
14,this man can jump across a mountain easily,this man can jump across a hurdle easily,0,1
15,I put the rubbish into a trash can,I put the rubbish into a mailbox,1,0
16,most children hate candies,most children love candies,0,1
18,a salad usually contains grass,a salad usually contains lettuce,0,1
19,computers are everywhere in a forest,trees are everywhere in a forest,0,1
20,my family used to watch TV together after dinner,my family used to watch radio together after dinner,1,0
21,I became hungry after a whole day starvation,I became sleepy after a whole day starvation,1,0
23,I changed my direction when passing a crossroads,I changed my car when passing a crossroads,1,0
25,my dad drinks a tin of cola everyday,my dad grows a tin of cola everyday,1,0
27,Bob played hard to prepare for the examination,Bob studied hard to prepare for the examination,0,1
28,I was humiliated by him so I broke up with him,I was humiliated by him so I had better friendship with him,1,0
30,Bob loves to play tennis at the indoor stadium,Bob loves to play tennis at the sports store,1,0
32,I am tall so I have an advantage in basketball,I am short so I have an advantage in basketball,1,0
33,mother sings a lullaby to send her baby asleep,mother sings a rock-and-roll to send her baby asleep,1,0
35,i call my mum with a phone,i call my mum with a drum,1,0
36,i like drinking mercury after dinner,i like drinking coffee after dinner,0,1
37,i put a bar of soap on a birthday cake,i put a candle on a birthday cake,0,1
38,sugar is the main ingredient in candy,plastic is the main ingredient in candy,1,0
39,he put some soy sauce to make the noodles taste better,he put some soy sauce to make the robot taste better,1,0
40,he is drunk soon after drinking some gin,he is drunk soon after drinking some water,1,0
41,sailing is an expensive hobby,walking is an expensive hobby,1,0
43,teachers teach geography with a globe,teachers teach sports with a globe,1,0
44,a funeral is a place for mourning,a funeral is a place for laughter,1,0
45,children have fun in the amusement park,children have fun in the cemetery,1,0
46,Mary eats at a restaurant to do the dishes,Mary eats at a restaurant to avoid doing the dishes,0,1
47,wool is a form of clothing material,wool is a form of eating material,1,0
48,mum is cooking a delicious meal in the kitchen,mum is cooking a delicious meal in the bedroom,1,0
50,beef cooked on the drill tastes delicious,beef cooked on the grill tastes delicious,0,1
53,we use a handsaw to cut wood,we use a penknife to cut wood,1,0
54,human beings can travel to the moon by spacecraft,human beings can travel to the moon by bus,1,0
55,she is happy to play with her friends,she is sad to play with her friends,1,0
56,smartphones nowadays are huge,smartphones nowadays are small,0,1
57,we took television sets to commemorate important days,we took photos to commemorate important days,0,1
58,i park my car in the living room,i park my car in the garage,0,1
59,he turns on the radio to listen to music,he turns on the light to listen to music,1,0
60,Lily opened the window to let some fresh air in,Lily opened the wall to let some fresh air in,1,0
62,people put on summer dresses when summer comes,people put on summer dresses when winter comes,1,0
63,smoking is bad for health,smoking is good for health,1,0
65,it takes him an hour to tear himself apart,it takes him an hour to clean himself up,0,1
68,he breaks the iron board with a bare hand,he breaks the wooden board with a bare hand,0,1
70,the farm is destroyed by a tomato,the farm is destroyed by a tornado,0,1
71,he is so famous that everybody has heard of him,he is so famous that nobody has heard of him,1,0
72,i like her songs because she is a good singer,i like her songs because she is a good cook,1,0
74,the moon is a planet of the solar system,the earth is a planet of the solar system,0,1
75,we stopped at the power plant because we needed gasoline,we stopped at the filling station because we needed gasoline,0,1
76,Lily goes to the cinema to watch a movie,Lily goes to the cinema to listen to a concert,1,0
77,centigrade is a measure of acidity,centigrade is a measure of temperature,0,1
78,the ancients used a compass as a guidance,the ancients used a satellite as a guidance,1,0
79,the fire was caused by a lighted cigarette,the fire was caused by a glass of water,1,0
80,December is the 12th month of a year,December is the 13th month of a year,1,0
81,a prince is a piece used in the game of chess,a king is a piece used in the game of chess,0,1
82,maid is an important member of a family,mother is an important member of a family,0,1
84,a sea is a large body of salt water,a sea is a large body of sweet water,1,0
86,farmers are growing mushrooms under the sun,farmers are growing crops under the sun,0,1
89,there are many fishes in the desert,there are many fishes in the sea,0,1
91,nissan is a foreign plane manufacturer,nissan is a foreign car manufacturer,0,1
92,food is stored in the pan,food is stored in the fridge,0,1
94,she goes traveling on holidays,she goes traveling on weekdays,1,0
95,laughter is a sign of joy,laughter is a sign of sorrow,1,0
98,he climbs up the mountain with the help of a rope,he climbs up the mountain with the help of a ribbon,1,0
99,he opens a storybook and begins to read,he opens a storybook and begins to cook,1,0
100,i put some chili powder to create a sweet flavor,i put some chili powder to create a spicy flavor,0,1
101,Bob looks up a word in a dictionary,Bob looks up a word in a shopping list,1,0
103,people usually work on Sundays,people usually rest on Sundays,0,1
105,he buys something to eat from the convenient store,he sells something to eat to the convenient store,1,0
106,he gives the driver a gift to thank him for a free ride,he killed the driver to thank him for a free ride,1,0
107,she feels ill and goes to see a doctor,she feels ill and goes to see a teacher,1,0
108,i buy a CD to listen to the latest songs,i buy a CD to listen to the latest advertisements,1,0
110,he is allergic to cats so he keeps a dog as a pet,he is allergic to cats so he keeps a cat as a pet,1,0
111,he runs faster than no one and wins the champion,he runs faster than everyone and wins the champion,0,1
112,i wear a wristwatch to be informed of the time,i wear a belfry to be informed of the time,1,0
113,a bird beats its wings and flies off,a plane beats its wings and flies off,1,0
115,people lived in houses made of wood in the past,people lived in houses made of wool in the past,1,0
117,the regular meeting is held at 2 o'clock in the morning,the regular meeting is held at 2 o'clock in the afternoon,0,1
119,i eat apples because of my illness,i take medicine because of my illness,0,1
121,Mary asks questions when taking an exam to get a high score,Mary answers questions when taking an exam to get a high score,0,1
122,human beings shake tails to express their happiness,dogs shake tails to express their happiness,0,1
123,he had his hair cut at the barber's,he had his hair cut at the butcher's,1,0
124,i drink some glass,i drink some water,0,1
128,i spend a dollar to buy a diamond ring,i spend a thousand dollars to buy a diamond ring,0,1
130,children take music classes in the gym,children take music classes in the music room,0,1
132,children like flying kites in the spring,children like flying planes in the spring,1,0
133,people must have a passport to travel abroad,people must have a driver's license to travel abroad,1,0
134,it is snowy and very hot outside,it is snowy and very cold outside,0,1
135,the car stops at the green light,the car stops at the red light,0,1
136,people put on clothes when they feel cold,people take off clothes when they feel cold,1,0
137,Trump was Emperor of the USA in 2018,Trump was President of the USA in 2018,0,1
138,he puts the radio next to his mouth to hear more clearly,he puts the radio next to his ear to hear more clearly,0,1
140,i buy a toy for my small brother for a shell,i buy a toy for my small brother for a dollar,0,1
142,it is a pity that she only comes the second in the competition,it is a pity that she only comes the first in the competition,1,0
143,they get out of an air-raid shelter to avoid bombs,they go down to an air-raid shelter to avoid bombs,0,1
144,the Taj Mahal is made of white marbles,the Taj Mahal is made of white maples,1,0
145,they speak in English in order to communicate with each other,they speak in c++ in order to communicate with each other,1,0
147,it is really painful for a mother to give birth to her baby,it is really painful for a father to give birth to his baby,1,0
148,they sleep in a hotel while camping in the forest,they sleep in a tent while camping in the forest,0,1
149,i water my mp3 player two times a week,i charge my mp3 player two times a week,0,1
152,Tim buys a lock to prevent his bike from being stolen,Tim buys a pair of socks to prevent his bike from being stolen,1,0
153,the doctor treats his patients carefully,the cook treats his patients carefully,1,0
154,the Titanic struck an iceberg and sank,the Titanic struck a life buoy and sank,1,0
155,he paints the ceiling with cola,he paints the ceiling with paints,0,1
158,pumpkins can be made into delicious dishes for people to eat,pumpkins can be made into carriages for people to ride on,1,0
159,she is cut by a knife accidentally,she is cut by a carpet accidentally,1,0
160,i use scissors to cut paper cuts,i use pencils to cut paper cuts,1,0
163,she brings an umbrella because of the rain,she brings a scarf because of the rain,1,0
