,FalseSent,Answer,Predicted
6,like to ride chocolate,chocolate food not transportation unit,chocolate delicious and bike not
8,put elephant into jug,jug so small than elephant,elephant animal and jug thing
19,drank bleach,bleach use for cleaning,bleach not store in kitchen
26,dress elephant,elephant wild animal,elephant grey
33,play game on gas stove,gas stove equipment to cook food,gas stove frequently use in house
97,play fridge,fridge tool and not musical instrument,do not know fridge
119,change tv channel with screwdriver,screwdriver passive mechanical tool,do not have screwdriver at home
136,walk to mar,mar another planet,mar red color
138,dwight cut down mountain,mountain much large than tree,tree grow faster than mountain
151,dress lion,lion wild animal,lion mammal
198,whale rain from sky,whale to heavy to apart water cycle,whale can communicate underwater
204,go on holiday to chicken,turkey country and chicken bird,turkey much large than chicken
222,cook bed in pan,bed too big for pan,bed do not drink milk
281,grass orange,grass do not come in orange,orange can not grow in grass
283,doctor give vaccine through stethoscope,stethoscope instrument to measure heartbeat,stethoscope too costly
288,rain occasionally which horrible for tree and grass,without rain all thing need to live die,rainwater gather in bucket and measure by meteorologist
309,one thing see at tyre change shop juice maker,juice maker use for make fruit juice,juice maker blade rotate in high speed
375,beef stew should cooked at 3250 degree for 36 hour,this incinerate stew,stew too cold
420,doctor checked temperature with stethoscope,stethoscope use to listen to heartbeat,stethoscope hard to use
436,antelope docked at pier,antelope animal not boat,antelope do not float
437,dog wag it tail to call it mom,dog cant use phone,dog cant say hello
438,wear spoon for bad eye,spoon utensil which have nothing to do with eye,spoon make steel
461,use handkerchief to cover bed,bed much much large than handkerchief,handkerchief square whereas bed rectangle
551,lion won in election,lion animal,lion mostly in brown color
559,lion type bird,lion mammalian in scientific community,lion and flamingo have eye
594,to cook pasta need poison,poison harm or even kill,poison taste bad than water
621,need waffle maker to call someone,waffle maker use to cook waffle,waffle make not connect to telephone line
638,ate dinner at laundry,laundry for wash clothes,dinner plate not wash in laundry
707,boat in mud,boat should on lake,boat use for boat
716,can use table to live in,person much big than table,table too small for person
756,barbie robot girl,barbie know to ken partner,ken and barbie make perfect couple
759,lit candy bar,can not smoke candy bar,candy bar do not have tobacco in
764,when sick go to lawyer,lawyer deal with legal matter,lawyer wear black coat
767,kill people very common hobby,kill people morally wrong and against law,kill people take too much time
787,nba tennis league,nba worldwide know basketball league from u,basketball and tennis have both different league
788,situation drink whiskey mixed with petrol,petrol consumption cause severe intoxication,petrol color similar to whiskey
803,work pointless task in life,work never pointless,work learn task
862,yesterday table spoke to,table inanimate and can not speak,table may not read or write
917,pentagon have six side,it hexagon that have six side,pentagon have few side than hexagon
919,box snake perfect gift for child,snake dangerous animal and bite,snake move swiftly and slimy
966,ate live chicken,human do not eat live chicken,live chicken not consume by human
1012,sloth run faster,sloth note for slowness movement,sloth 40 million old specie
1027,blew fire into balloon to make big,fire melt balloon,balloon can not put out fire
1034,girl favorite snack frisbee,frisbee toy,frisbee pink not yellow
1036,park cat in garage,car vehicle and cat common household pet,car require gas and cat require food
1074,zipped up hamster,hamster do not have zipper,hamster do not eat zipper
1122,doctor checked heart beat with thermometer,thermometer to check temperature,thermometer come in different model
1153,all state flower scarlet carnation,state flower unique to each state,state flower can any unique flower
1166,practice cycling with car,cycle and car different transport,too short to drive car
1167,hippopotamus get into car,hippopotamus too big to fit in car,hippopotamus have foot whereas car have wheel
1169,fire can use to prevent death,fire dangerous rather than helpful,body sometimes burn after death
1194,most bird can dance,bird do not perform human action such a dance,dance club do not usually allow bird to enter
1238,christmas time for work all day,typically people have holiday on christmas,people eat big dinner on christmas
1263,sister drive chicken to work,chicken too small to use a transportation,chicken small and loud usually eat bread
1273,go to market by table,nobody can drive table,table can not fit with wheel
1303,place car into fridge,car big than fridge,car and fridge make from metal
1304,movie screen in hospital,hospital to treat patient,movie to entertain people
1318,can not breath under water without puppet,puppet do not provide oxygen,puppet do not need oxygen
1401,go to restaurant for hair cut,restaurant place that offer food,restaurant usually crowd than salon
1420,man jumped over building,building too tall to jump over,man too tire to jump building
1446,child like play with lightning in rain,lightning can kill child,can rain with or without lightning
1482,person eats car,car too big to eat,car mode transportation
1483,bucket carry lake,lake much big than bucket,bucket different color than lake
1535,watch leopard race runner,leopard much faster than runner,leopard cat and runner person
1542,climbed flower to pick apple,flower too small and fragile to climb,tree once a small a flower
1580,drove airplane on highway,airplane fly in air,airplane faster than car
1643,dad eats table every day in even,human can not eat table because wooden,dad do not eat can eat wood
1693,sister ate blue egg yolk,egg yolk yellow or orange,egg yolk found inside egg
1713,walk shark,shark not kept a pet,leash not fit on shark
1739,phone call can make with loud speaker,loudspeaker do not have cellular connection,cellular connection not form through loudspeaker
1792,take tiger for walk,tiger wild and dangerous animal,dog love tiger
1812,car require to travel into space,rocket can travel fast enough to escape earth gravity,car can travel several hundred kilometer on tank fuel
1818,baseball bat hit baseball glove,glove to catch ball after hit,baseball bat can wood or aluminum
1887,neighbor have be take cheetah with on trip,cheetah life in wild,cheetah can eat people
1896,bread eat people,bread food,bread toast
